"original_text","lang","place","compound","neg","neu","pos","sentiment","created_at","city","country","sentiment_int"
"RT @CTVNews: BREAKING: Ontario reports highest number of COVID-19 cases in a single-day, confirms 50 more deaths https://t.co/Lg9UzDFwWJ","en","Southern Alberta, Canada",-0.5574,0.275,0.634,0.092,"neg",2020-04-24,"Southern Alberta","Canada",-1
"A helpful fiscal policy tracker (summarizing actions taken in response to the COVID-19 fallout) by country:… https://t.co/RBX2qOCw3l","en","Calgary, Alberta, Canada",0.4019,0,0.787,0.213,"pos",2020-04-24,"Calgary","Canada",1
"Dr. Paul Oh reminds us:  “Please don’t ignore your heart!” Call 9-1-1 if you are experiencing heart symptoms, even… https://t.co/eDVf3HHtJ6","en","Canada",0,0,1,0,"neu",2020-04-24,NA,"Canada",0
"Taste of Edmonton cancelled due to COVID-19 concerns https://t.co/HcCpHt0CDu  @ctvedmonton #yeg","en","Alberta, Canada",-0.25,0.286,0.714,0,"neg",2020-04-24,"Alberta","Canada",-1
"William Hay, Writer: April 24, 2020, Covid 19, Quarantine https://t.co/9ilkieW2t7","en","Vancouver, Canada",0,0,1,0,"neu",2020-04-24,"Vancouver","Canada",0
"RT @fordnation: Premier Ford Provides a COVID-19 Update https://t.co/Ew5DeRplr6","en","Canada",0,0,1,0,"neu",2020-04-24,NA,"Canada",0
"RT @telesurenglish: #Italy | One million Italians have fallen into poverty and need urgent food aid due to the pandemic's consequences.
#Co…","en","Canada",-0.1779,0.175,0.699,0.126,"neg",2020-04-24,NA,"Canada",-1
"RT @4FreedominIran: #FreeIran2020
During a speech on Wed #Rouhani said some are trying to undermine his gov, looking for problems and magni…","en","Canada",-0.4019,0.252,0.748,0,"neg",2020-04-24,NA,"Canada",-1
"Pastor Avis, Covid-19 Prayer Strategy 2 Chron ch7 v14","en","Canada",0,0,1,0,"neu",2020-04-24,NA,"Canada",0
"RT @Mikeggibbs: Children are not getting vaccinated right now, and they are NOT safe from vaccine preventable diseases in isolation.

Docto…","en","Edmonton, Alberta, Canada",0.4588,0,0.667,0.333,"pos",2020-04-24,"Edmonton","Canada",1
