"original_text","lang","place","compound","neg","neu","pos","sentiment","created_at","city","country","sentiment_int"
"Ontario slashes gathering sizes for entire province as alarm bells ring over COVID-19 spike https://t.co/8VNvgPOQFv","en","Ontario, Canada",-0.5423,0.333,0.667,0,"neg",2020-09-19,"Ontario","Canada",-1
"RT @mommabfly: To think that this woman could have enjoyed the last years of her life in peace with her family, that less people would have…","en","Ottawa, Canada",0.4939,0,0.775,0.225,"pos",2020-09-19,"Ottawa","Canada",1
"RT @CTVAtlantic: New Brunswick reports no new COVID-19 cases; one active case remains https://t.co/0GHMI2T83f","en","Nova Scotia, Canada",0,0,1,0,"neu",2020-09-19,"Nova Scotia","Canada",0
"2020, the year of the COVID-19 pandemic, is also a make or break year for biodiversity. We are experiencing a sixth… https://t.co/Yf4cMaPsT4","en","Nanaimo BC, Canada",0,0,1,0,"neu",2020-09-20,"Nanaimo BC","Canada",0
"RT @CBCAlerts: Nunavut is reporting its first confirmed cases of COVID-19 but a spokeswoman for the premier says that since they
didn't ori…","en","Nova Scotia, Canada",0,0,1,0,"neu",2020-09-20,"Nova Scotia","Canada",0
"RT @BrianGPowell: @sallyKP “It’s not just a flu shot, it increases the chances of you getting #Covid19...”

“Got it... I gotta run.” https:…","en","BC, Canada",-0.3818,0.224,0.776,0,"neg",2020-09-20,"BC","Canada",-1
"RT @JaroGiesbrecht: According to Support Our Students (SOS) #Alberta, 103 schools in the province have reported cases of the #COVID19 virus…","en","British Columbia, Canada",0.4019,0,0.748,0.252,"pos",2020-09-22,"British Columbia","Canada",1
"Wouldn't it be great if Trump showed his followers just how unafraid he is of Covid-19 and walk through the crowds… https://t.co/4DSYXaVETv","en","Canada",0.6249,0,0.631,0.369,"pos",2020-09-22,NA,"Canada",1
"RT @jilevin: Rural Hospitals Teeter On Financial Cliff As COVID-19 Medicare Loans Come Due https://t.co/COEp6J5EbE","en","Ottawa, Canada",0,0,1,0,"neu",2020-09-22,"Ottawa","Canada",0
"RT @Justin_Ling: Montreal, overwhelmed with cases, is giving up on some of its contact tracing efforts (where the risk is medium or low)

I…","en","Montréal, Québec, Canada",-0.5994,0.457,0.543,0,"neg",2020-09-23,"Montréal","Canada",-1
"RT @blogTO: You can get a COVID-19 saliva test in Ontario starting this week https://t.co/Y5c0TwiZ0y #Ontario #Coronavirus #COVID19 #COVIDO…","en","Toronto, Canada",0,0,1,0,"neu",2020-09-23,"Toronto","Canada",0
"RT @_JessPatton: The error involved cases being reported at two Durham District School Boards and at a child care centre. https://t.co/vziL…","en","Toronto, Canada",0.128,0.17,0.629,0.201,"pos",2020-09-23,"Toronto","Canada",1
"Doug Ford slams federal delays on saliva tests as Ontario rolls out COVID-19 screening at pharmacies
(Hey, Ford, in… https://t.co/fvP3H27bXA","en","Canada",-0.5994,0.29,0.71,0,"neg",2020-09-24,NA,"Canada",-1
"RT @SheilaGatensby: Leaked document reveals Ontario's plan to avoid another COVID-19 lockdown https://t.co/Sp5FhGSEGZ","en","Ontario, Canada",-0.5574,0.397,0.603,0,"neg",2020-09-24,"Ontario","Canada",-1
"Don’t underestimate this virus!
Wear a mask!
Social distance!
Wash your hands and don’t touch your face!
More and m… https://t.co/ANN5onZrfC","en","Toronto, Ontario, Canada",0.4939,0,0.738,0.262,"pos",2020-09-24,"Toronto","Canada",1
"RT @CPHO_Canada: 1/2 With #COVID19 cases increasing daily, I am urging everyone to limit their in-person close contacts, as much as is poss…","en","Canada",-0.5574,0.265,0.735,0,"neg",2020-09-25,NA,"Canada",-1
"RT @BIRDanalytics: Is Data the Answer To Business #COVID19 Recovery? - https://t.co/HVxb3ycJEH

#DataAnalytics #AI #MachineLearning #Busine…","en","Alberta, Canada",0,0,1,0,"neu",2020-09-25,"Alberta","Canada",0
